20441421,2898
8844530,126
7888099,2898
95080348,2898
126243052,2898
70297704,2898
34907694,2898
133587670,2898
72900495,2898
57888180,2898
5720450,2898
7718278,2898
78066158,2898
42637299,2898
57659054,2898
98798373,2898
79103185,2898
2222329,2898
65076352,2898
109529495,2898
127140828,2898
114876289,2898
29609396,2898
94281241,2898
14110866,2898
85925372,2898
89975053,2898
17475359,322
32936107,2898
46973497,2898
17233440,2898
31976634,2898
66155461,322
35802278,2898
97960514,322
55457846,126
52671981,2898
109465615,2898
10881974,2898
103466183,2898
13138015,2898
31123196,2898
98617196,2898
76880791,2898
114681092,2898
95141895,2898
88298261,2898
112278920,2898
100889618,2898
34862931,322
69446935,2898
1842432,2898
92928291,2898
56260797,2898
64123741,2898
131281402,2898
58917046,2898
116984644,322
25698742,2898
32682398,2898
121262880,2898
127832290,2898
46799154,2898
61052514,2898
90803672,2898
27525830,2898
2515297,2898
25457430,2898
84952190,2898
50723700,2898
13679995,2898
132323952,322
6981666,2898
12868856,2898
117368301,126
60505180,2898
125477842,2898
4866509,2898
5113906,2898
78164280,2898
104165259,2898
13873508,2898
78292770,2898
21480437,2898
51491784,126
50847149,2898
50497805,126
20022689,2898
79830571,161
9217100,2898
119610911,2898
45290595,2898
133142426,2898
6750064,2898
6704359,2898
67994327,2898
96225905,2898
40699171,2898
37562229,2898
59541067,2898
33407715,161
48397471,2898
5279517,2898
63642953,2898
85003143,2898
99103506,2898
13567088,2898
41447615,2898
101353676,2898
81336795,2898
103163431,2898
115998499,2898
44719576,2898
65672050,2898
97045438,2898
63864104,2898
51307638,2898
62007973,2898
104796572,2898
71852027,2898
26060613,2898
122151793,2898
117765544,2898
75741746,2898
58268494,2898
49880420,2898
23377586,2898
113943013,2898
86881541,2898
22358429,2898
121664238,161
70383074,2898
9743632,2898
105231626,2898
128549814,322
103056979,2898
57118586,2898
26666720,2898
50729735,2898
6977250,2898
118533414,2898
66174864,2898
26575919,2898
69090628,2898
124332480,2898
37747404,126
103178225,2898
80282295,2898
104464972,2898
78755823,2898
64012914,2898
52019674,2898
28514841,2898
64892560,2898
13768609,2898
125448030,2898
95166635,2898
85714029,2898
23123003,2898
109659803,2898
72619735,2898
133038539,2898
51891533,2898
102056862,2898
25087443,161
51475736,2898
8507449,2898
129494120,2898
92056707,2898
63053388,2898
2365652,2898
384401,2898
51144246,2898
15211793,2898
77507060,2898
85472132,2898
99065504,2898
127302225,2898
26793362,161
112623569,161
10043351,126
47612736,2898
10991372,2898
123994515,2898
533554,2898
46883786,2898
34660249,2898
128884342,2898
53366752,2898
52122845,126
25661370,2898
56047099,2898
51547566,2898
102331060,2898
61266488,2898
65994598,2898
70921761,2898
8679178,2898
90997617,2898
83026833,2898
99329532,2898
60650469,2898
120353966,2898
41338919,2898
37693171,2898
116851107,2898
95776728,2898
61936012,2898
39625649,2898
6836293,2898
50804922,2898
110861881,2898
133688977,2898
127140611,2898
41834800,2898
83471566,2898
118280984,2898
15304934,2898
9660605,2898
4600868,2898
12978960,2898
40700784,2898
101590038,2898
27319894,2898
88935788,2898
22111119,2898
133980326,2898
52529999,2898
82760236,2898
47627891,2898
82427453,2898
123650275,2898
101878721,161
16824054,2898
105782388,2898
112581471,2898
112173146,2898
18777464,2898
79062762,2898
125930348,2898
44062033,126
132986250,2898
54105938,2898
35599440,2898
23145432,2898
61964316,2898
119263113,2898
19780052,2898
88483174,2898
81264013,2898
8739697,2898
91778204,126
36580939,161
79592745,2898
14412850,2898
13316698,2898
32483297,2898
91897202,2898
104152346,2898
6223462,2898
82407688,2898
122844799,2898
53605389,2898
23335129,2898
132222989,2898
82804370,2898
112115649,126
89887089,2898
119478558,2898
112804746,2898
112024596,2898
97371056,2898
99793746,2898
103830241,2898
57469703,2898
57971512,2898
25510048,2898
114673106,2898
41876419,2898
66386981,2898
58493949,2898
29948566,2898
40231112,322
37791603,2898
88332570,2898
72785310,2898
81982093,2898
36208932,322
81899602,2898
106774879,2898
115220959,2898
49682902,322
134163048,2898
61877452,2898
94183748,2898
23311338,2898
9673167,2898
38100606,2898
72709897,2898
37878195,322
2241815,2898
30945003,2898
118570519,2898
4910119,2898
92774318,2898
99970312,2898
133365315,161
78460943,2898
120111796,2898
77413068,2898
7511153,2898
47886875,2898
89209304,2898
126290160,2898
74113085,2898
80970650,2898
1991708,2898
65482116,2898
45984908,2898
81286802,2898
50472750,2898
3167830,2898
125852266,2898
28681998,2898
124450909,2898
111423377,161
104035949,2898
44145109,2898
30595925,2898
23819637,2898
94295809,2898
130423631,2898
127563647,2898
17621248,2898
133354722,2898
50863888,2898
109972383,2898
85000932,2898
109139870,2898
52332519,2898
20198623,2898
96149166,2898
95395469,2898
7150635,2898
72722052,322
64272504,2898
32301789,2898
57491338,2898
52139621,2898
123436673,2898
62608805,2898
132820432,2898
44942470,2898
2226308,2898
72667800,2898
129596557,2898
8215104,2898
95813080,2898
75103164,2898
130501205,2898
118112602,2898
96024297,2898
129539239,2898
49049933,2898
7298116,2898
116974163,2898
84973779,2898
43570775,2898
59547845,2898
79418808,2898
15149283,2898
111544139,2898
17192823,2898
10741889,2898
88904675,2898
124457038,2898
35766468,2898
66266930,2898
124602412,2898
60715656,2898
122316814,2898
88253672,2898
88695756,2898
60793980,2898
55385085,322
98992225,2898
28533829,2898
48768227,2898
63882916,2898
95242160,2898
21572916,322
10798520,2898
90635284,2898
21581540,2898
75381575,2898
132927987,2898
132388682,2898
4114241,2898
62817537,2898
121613440,2898
65815029,2898
18115065,2898
9660785,2898
9871477,2898
18496748,161
50137679,2898
9407619,2898
15669009,2898
3945424,322
1094054,2898
33251858,2898
4590213,2898
81445307,2898
15992171,2898
25010804,2898
56194039,2898
52625607,2898
84674978,2898
104138766,2898
83784307,2898
131089326,2898
82600726,2898
87756631,2898
122071419,14
85892782,2898
29859635,2898
14103464,2898
129445998,2898
57187482,2898
63378498,2898
29841063,2898
78993665,2898
66257916,2898
74366360,2898
105563857,2898
19824415,2898
64620270,2898
83902340,2898
59236814,2898
14052502,2898
109115369,2898
81582811,2898
74559482,2898
46254869,2898
96157039,2898
45323163,2898
36394651,2898
109780511,2898
12804787,2898
71235359,2898
93276875,2898
58873973,2898
81478394,2898
112911944,2898
127576784,2898
120557540,2898
105928597,2898
66092283,2898
45969650,2898
1034134,2898
33538544,2898
5505616,2898
83364396,2898
29330785,2898
105402301,2898
105920981,322
37784519,2898
21704135,2898
81251297,2898
92953514,2898
31169607,2898
114752254,2898
70103073,2898
10241164,2898
63537040,126
21173822,2898
98040517,2898
73967563,2898
110317409,2898
3557936,2898
63606966,2898
84212016,2898
92828104,2898
110153948,2898
133942182,322
79441884,2898
42781433,2898
121759545,2898
6505054,322
41662812,2898
11367861,2898
78240449,322
114502223,126
5196662,2898
59765910,2898
89566791,2898
50509302,2898
65237093,2898
96581238,2898
29674745,2898
122792715,2898
10834754,2898
22241399,2898
19513391,2898
126365506,2898
124823363,2898
61639516,2898
68211753,2898
28501256,2898
110483327,2898
66300519,2898
74499007,2898
45402865,2898
122035608,2898
8212720,2898
90547958,2898
106781396,2898
33439076,161
5150138,2898
87045600,2898
99653211,2898
21796991,2898
69084961,2898
88900016,2898
22720314,2898
19112966,2898
96512550,2898
48999639,2898
62880690,2898
129531517,2898
14173618,2898
81720573,2898
16442012,2898
96586801,2898
43695015,2898
29857268,2898
113926403,2898
102485825,2898
109783070,2898
48533586,2898
60301016,2898
67613,2898
6802682,2898
44568236,2898
93108933,2898
64915526,2898
35691969,2898
82564864,2898
15153068,2898
103557764,2898
42054608,2898
7114177,2898
6312052,2898
112315709,161
32022470,126
4217399,2898
67971069,2898
10763423,2898
111035256,2898
95858116,322
62734570,2898
87177278,2898
13959082,2898
15372034,161
130847780,322
100246283,2898
118742,322
30424726,2898
104186819,2898
40268363,2898
110556153,2898
78820007,2898
128266675,2898
39966057,161
132655396,2898
37014740,2898
113008659,2898
27801788,126
69634101,2898
109334832,2898
78229358,2898
4317965,2898
96504659,2898
302576,2898
1601302,2898
100922033,2898
83324122,2898
64356589,2898
28851632,2898
45651114,2898
121904970,2898
27506557,2898
34051366,2898
14051453,2898
52043515,2898
105104832,2898
13760394,2898
79430974,2898
33504733,2898
119756841,2898
25314296,2898
56213325,2898
76490071,2898
129264734,2898
34298725,322
19637263,2898
133681147,2898
78454064,2898
43274826,2898
128911978,2898
126456120,2898
36511303,2898
14410444,2898
51823867,2898
35242988,2898
14448681,2898
99359628,2898
60803616,2898
94807735,2898
88078550,2898
118123298,2898
18154382,2898
103274885,2898
6762854,2898
25855180,2898
119323652,2898
48275182,2898
92375934,2898
47109720,2898
72980797,2898
45683994,2898
48621808,2898
102635502,2898
98588609,2898
64495269,2898
59236743,2898
133993259,161
115987234,2898
98095895,2898
121783817,2898
406143,2898
82827965,2898
132329044,2898
100714082,2898
9567481,2898
33411309,2898
81107559,2898
39558867,2898
2058586,2898
65448820,161
15345028,2898
63788531,2898
37484697,2898
105981370,2898
90817336,2898
82886252,2898
22259409,2898
46186031,2898
85194558,2898
6802607,2898
91298511,2898
37597075,2898
49902503,161
3432801,2898
79853075,2898
53856974,2898
66910961,2898
107869142,2898
86357902,2898
75469372,2898
83064319,2898
87162382,2898
50631298,2898
41694136,2898
102006460,2898
96777912,2898
20458219,2898
131624337,2898
98055175,2898
118043027,2898
58681452,2898
38223029,2898
38392018,161
37324719,2898
104838465,2898
48949977,2898
19433491,2898
28026368,2898
120470574,2898
63461987,2898
102408023,2898
120706509,2898
102659654,2898
104487230,2898
91451870,2898
124567377,2898
38021573,2898
129624279,2898
35391639,2898
89557280,2898
4683912,2898
66450134,2898
118690322,2898
36617911,2898
52162387,2898
83659760,161
72520521,2898
127407170,2898
75506034,2898
19466637,2898
3510337,2898
127137700,2898
93561121,2898
17912595,322
62886787,2898
49228958,2898
39453424,2898
79053406,2898
148364,2898
65983549,2898
16051368,2898
54365043,2898
20336187,2898
123619942,2898
37500349,2898
69232742,2898
5909628,2898
59228149,2898
50079421,2898
64523256,2898
80589192,2898
85623913,2898
85058034,2898
57238987,2898
47246958,2898
113591558,2898
61460014,2898
50484959,2898
80271188,2898
65038757,2898
123821111,2898
27072994,2898
23169536,2898
11554760,2898
59575338,161
69678730,2898
46670640,2898
101090320,2898
92086588,2898
132291726,2898
93322995,2898
68546570,2898
72546160,2898
113914534,2898
112758772,2898
91744948,2898
41074523,2898
117862798,2898
37995423,2898
61886072,2898
56462678,2898
49110710,2898
46547702,2898
87018992,2898
102237078,2898
66738034,2898
110966951,2898
91701559,2898
93695122,322
1807417,2898
76371189,2898
121848787,2898
59385875,2898
76469104,2898
25210348,2898
92096090,2898
23649553,126
95027914,2898
53013862,2898
99397319,2898
121731225,2898
23763675,2898
9130239,2898
51761839,2898
75461516,2898
18238959,126
103223872,2898
85866931,2898
55830483,2898
3465706,2898
70089214,2898
110389835,2898
63286360,2898
93253992,2898
15763531,2898
32103759,2898
28470759,2898
89358872,2898
10093668,2898
120370558,322
108601711,2898
39718008,2898
69093593,2898
90437940,161
120683511,2898
58609418,2898
11314007,126
165853,2898
10658697,2898
74481085,2898
65112421,2898
130799446,2898
32691634,126
25685085,2898
13728782,126
126091106,2898
50458394,2898
67855269,2898
39419268,2898
106768479,2898
50935974,2898
42307975,2898
31677530,2898
34325790,2898
410989,2898
69729323,2898
125791495,2898
117236379,2898
133892100,2898
107380390,2898
36743731,2898
26504114,2898
34422359,2898
41985170,2898
59703161,2898
65860614,2898
19079152,2898
86271526,322
86631599,2898
94656403,2898
2818597,322
86103157,2898
133847226,2898
11342584,2898
95165546,2898
84664353,2898
92294990,2898
111011670,2898
107827262,2898
16683986,2898
96514700,2898
78595330,2898
45211009,2898
12662390,2898
53671452,322
28287623,2898
95849332,2898
78940405,2898
98540362,2898
87780961,2898
109036463,2898
99624450,2898
127195940,2898
44435422,2898
71061975,2898
133261387,2898
84282170,2898
48954011,126
120280670,2898
109608774,2898
103368507,2898
80411124,2898
66107039,2898
64093036,2898
44478453,2898
33661121,126
71166886,2898
56234968,126
